date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_std,sentiment_max,sentiment_min,news_count,magnitude_mean,magnitude_sum,sentiment_weighted_mean,sentiment_mean_roll_avg_3d,sentiment_weighted_mean_roll_avg_3d,news_count_roll_sum_3d,sentiment_std_roll_max_3d,sentiment_mean_roll_avg_7d,sentiment_weighted_mean_roll_avg_7d,news_count_roll_sum_7d,sentiment_std_roll_max_7d,sentiment_mean_roll_avg_14d,sentiment_weighted_mean_roll_avg_14d,news_count_roll_sum_14d,sentiment_std_roll_max_14d,Policy_Repo_Rate,10Y_Bond_Yield,Call_Money_Rate,CPI_Index,IIP_Index,GDP_Growth_QoQ,USD_INR_Exchange_Rate,Trade_Exports_USD,Trade_Imports_USD,FX_Reserves,Crude_Oil_Brent,Crude_Oil_WTI,Net_Sales_Income_from_operations,Basic_EPS,Net_Profit_Loss_For_the_Period,P_L_Before_Other_Inc_Int_Excpt_Items__Tax,Interest,Increase_Decrease_in_Stocks
24-06-2020,1610.505407,1734.592744,1610.505407,1670.994995,11545923,0,0,0,0,0,0,0,0,0.333333,0.333333,1,0,0.142857,0.142857,1,0,0.202753,0.202753,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.65,22127580000,21495520000,472094.3074,40.4,37.91,4635,4.82,476,665,25,-305
25-06-2020,1664.061069,1670.755568,1609.692201,1615.286865,4054785,0,0,0,0,0,0,0,0,0.333333,0.333333,1,0,0.142857,0.142857,1,0,0.202753,0.202753,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.58,22127580000,21495520000,472094.3074,41.18,38.66,4635,4.82,476,665,25,-305
26-06-2020,1635.370679,1635.705381,1597.785797,1613.135376,2129986,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.202753,0.202753,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.63,22127580000,21495520000,472094.3074,40.97,38.53,4635,4.82,476,665,25,-305
29-06-2020,1613.374477,1633.888291,1600.989699,1618.108398,2753482,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.202753,0.202753,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.52,22127580000,21495520000,472094.3074,41.58,39.67,4635,4.82,476,665,25,-305
30-06-2020,1634.318617,1643.021443,1608.257887,1613.804688,1960731,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.202753,0.202753,3,0,4.25,5.86,4.25,127.0003,97.29153,38939425.8,75.53,22127580000,21495520000,472094.3074,41.64,39.27,4635,4.82,476,665,25,-305
01-07-2020,1623.894259,1623.894259,1606.727697,1614.330688,1661296,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0.142857,1,0,0.14285,0.14285,2,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,75.5,23951550000,28423590000,497249.2626,42.18,39.88,4635,4.82,476,665,25,-305
02-07-2020,1625.807074,1629.632503,1587.648402,1612.848389,2038399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285,0.14285,2,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.78,23951550000,28423590000,497249.2626,43.19,40.57,4635,4.82,476,665,25,-305
03-07-2020,1621.407883,1644.934245,1616.243532,1621.646973,1988941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.78,23951550000,28423590000,497249.2626,42.92,40.57,4635,4.82,476,665,25,-305
06-07-2020,1634.366364,1637.2833,1618.299636,1634.270752,1236670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.62,23951550000,28423590000,497249.2626,42.73,40.51,4635,4.82,476,665,25,-305
07-07-2020,1634.366317,1673.529208,1631.401633,1669.560303,2983260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071429,0.071429,1,0,4.25,5.81,4.25,128.5304,105.6832,47282812.8,74.81,23951550000,28423590000,497249.2626,43.28,40.59,4635,4.82,476,665,25,-305
